site,date,start_hour,time,value,variable,units,quality,prelim,name 
3781,6/11/2025,17,6:30 PM,48.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,18,7:30 PM,46.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,19,8:30 PM,44.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,20,9:30 PM,44.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,21,10:30 PM,41.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,22,11:30 PM,35.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,23,12:30 AM,33.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,0,1:30 AM,33.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,1,2:30 AM,32.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,2,3:30 AM,30.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,3,4:30 AM,27.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,5,6:30 AM,23,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,6,7:30 AM,25.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,7,8:30 AM,29.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,8,9:30 AM,34.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,9,10:30 AM,39.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,10,11:30 AM,44.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,11,12:30 PM,48.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,12,1:30 PM,51.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,13,2:30 PM,51.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,14,3:30 PM,50.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,15,4:30 PM,46.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,16,5:30 PM,50.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,17,6:30 PM,51.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,18,7:30 PM,49.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,19,8:30 PM,47.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,20,9:30 PM,45.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,21,10:30 PM,44.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/12/2025,22,11:30 PM,40.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/13/2025,23,12:30 AM,35.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/13/2025,0,1:30 AM,31.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/13/2025,1,2:30 AM,28.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/13/2025,2,3:30 AM,24.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/13/2025,3,4:30 AM,23.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/13/2025,5,6:30 AM,20.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/13/2025,6,7:30 AM,25.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/13/2025,7,8:30 AM,31.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/13/2025,8,9:30 AM,36.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/13/2025,9,10:30 AM,39.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/13/2025,10,11:30 AM,42.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
