Ozone-1578:OZONE_value,Ozone-1578:OZONE_date,GPS:LAT_value,GPS:LAT_date,GPS:LON_value,GPS:LON_date
40.9,2025-10-22T11:28:28Z,36.1389129,2025-10-22T11:28:28Z,-120.3683429,2025-10-22T11:28:28Z
41.2,2025-10-22T11:33:29Z,36.1388677,2025-10-22T11:33:29Z,-120.3683493,2025-10-22T11:33:29Z
36.7,2025-10-22T11:38:36Z,36.1388814,2025-10-22T11:38:36Z,-120.3683478,2025-10-22T11:38:36Z
40.8,2025-10-22T11:43:38Z,36.1388571,2025-10-22T11:43:38Z,-120.3683647,2025-10-22T11:43:38Z
42.7,2025-10-22T11:48:40Z,36.1389110,2025-10-22T11:48:40Z,-120.3683369,2025-10-22T11:48:40Z
43.0,2025-10-22T11:53:46Z,36.1389039,2025-10-22T11:53:46Z,-120.3683349,2025-10-22T11:53:46Z
42.5,2025-10-22T11:58:51Z,36.1389571,2025-10-22T11:58:51Z,-120.3683401,2025-10-22T11:58:51Z
44.0,2025-10-22T12:03:58Z,36.1389904,2025-10-22T12:03:58Z,-120.3683435,2025-10-22T12:03:58Z
44.8,2025-10-22T12:09:02Z,36.1389131,2025-10-22T12:09:02Z,-120.3683585,2025-10-22T12:09:02Z
44.3,2025-10-22T12:14:04Z,36.1389139,2025-10-22T12:14:04Z,-120.3683527,2025-10-22T12:14:04Z
42.1,2025-10-22T12:19:06Z,36.1388878,2025-10-22T12:19:06Z,-120.3683470,2025-10-22T12:19:06Z
42.6,2025-10-22T12:24:08Z,36.1389277,2025-10-22T12:24:08Z,-120.3683258,2025-10-22T12:24:08Z
41.7,2025-10-22T12:29:14Z,36.1389274,2025-10-22T12:29:14Z,-120.3683689,2025-10-22T12:29:14Z
41.7,2025-10-22T12:34:18Z,36.1388990,2025-10-22T12:34:18Z,-120.3683374,2025-10-22T12:34:18Z
42.1,2025-10-22T12:39:21Z,36.1388793,2025-10-22T12:39:21Z,-120.3683809,2025-10-22T12:39:21Z
42.4,2025-10-22T12:44:27Z,36.1388957,2025-10-22T12:44:27Z,-120.3683764,2025-10-22T12:44:27Z
41.3,2025-10-22T12:49:34Z,36.1389309,2025-10-22T12:49:34Z,-120.3683390,2025-10-22T12:49:34Z
40.4,2025-10-22T12:54:40Z,36.1389470,2025-10-22T12:54:40Z,-120.3683479,2025-10-22T12:54:40Z
41.0,2025-10-22T12:59:42Z,36.1389303,2025-10-22T12:59:42Z,-120.3683481,2025-10-22T12:59:42Z
40.4,2025-10-22T13:04:47Z,36.1389048,2025-10-22T13:04:47Z,-120.3683572,2025-10-22T13:04:47Z
39.6,2025-10-22T13:09:49Z,36.1389146,2025-10-22T13:09:49Z,-120.3683526,2025-10-22T13:09:49Z
39.9,2025-10-22T13:14:51Z,36.1389258,2025-10-22T13:14:51Z,-120.3683610,2025-10-22T13:14:51Z
38.7,2025-10-22T13:19:53Z,36.1389047,2025-10-22T13:19:53Z,-120.3683571,2025-10-22T13:19:53Z
39.1,2025-10-22T13:24:57Z,36.1389503,2025-10-22T13:24:57Z,-120.3683737,2025-10-22T13:24:57Z
39.4,2025-10-22T13:30:07Z,36.1389903,2025-10-22T13:30:07Z,-120.3683491,2025-10-22T13:30:07Z
38.2,2025-10-22T13:35:08Z,36.1389353,2025-10-22T13:35:08Z,-120.3683624,2025-10-22T13:35:08Z
35.3,2025-10-22T13:40:12Z,36.1389589,2025-10-22T13:40:12Z,-120.3683732,2025-10-22T13:40:12Z
35.0,2025-10-22T13:45:15Z,36.1388939,2025-10-22T13:45:15Z,-120.3683693,2025-10-22T13:45:15Z
34.8,2025-10-22T13:50:32Z,36.1388939,2025-10-22T13:50:32Z,-120.3683693,2025-10-22T13:50:32Z
33.4,2025-10-22T13:55:49Z,36.1388939,2025-10-22T13:55:49Z,-120.3683693,2025-10-22T13:55:49Z
35.6,2025-10-22T14:00:53Z,36.1388851,2025-10-22T14:00:53Z,-120.3683387,2025-10-22T14:00:53Z
36.7,2025-10-22T14:05:57Z,36.1388612,2025-10-22T14:05:57Z,-120.3683582,2025-10-22T14:05:57Z
35.9,2025-10-22T14:10:59Z,36.1388395,2025-10-22T14:10:59Z,-120.3683618,2025-10-22T14:10:59Z
34.5,2025-10-22T14:16:05Z,36.1389176,2025-10-22T14:16:05Z,-120.3683651,2025-10-22T14:16:05Z
32.7,2025-10-22T14:21:10Z,36.1388306,2025-10-22T14:21:10Z,-120.3683011,2025-10-22T14:21:10Z
31.8,2025-10-22T14:26:16Z,36.1387393,2025-10-22T14:26:16Z,-120.3683492,2025-10-22T14:26:16Z
27.3,2025-10-22T14:31:23Z,36.1388937,2025-10-22T14:31:23Z,-120.3682967,2025-10-22T14:31:23Z
23.1,2025-10-22T14:36:25Z,36.1388878,2025-10-22T14:36:25Z,-120.3683447,2025-10-22T14:36:25Z
19.3,2025-10-22T14:41:31Z,36.1388852,2025-10-22T14:41:31Z,-120.3683635,2025-10-22T14:41:31Z
19.0,2025-10-22T14:46:36Z,36.1388379,2025-10-22T14:46:36Z,-120.3684173,2025-10-22T14:46:36Z
18.7,2025-10-22T14:51:38Z,36.1388990,2025-10-22T14:51:38Z,-120.3683197,2025-10-22T14:51:38Z
18.1,2025-10-22T14:56:40Z,36.1388907,2025-10-22T14:56:40Z,-120.3683436,2025-10-22T14:56:40Z
17.0,2025-10-22T15:01:42Z,36.1389096,2025-10-22T15:01:42Z,-120.3683331,2025-10-22T15:01:42Z
17.6,2025-10-22T15:06:44Z,36.1388813,2025-10-22T15:06:44Z,-120.3683686,2025-10-22T15:06:44Z
16.0,2025-10-22T15:11:46Z,36.1388827,2025-10-22T15:11:46Z,-120.3683665,2025-10-22T15:11:46Z
16.0,2025-10-22T15:16:50Z,36.1389091,2025-10-22T15:16:50Z,-120.3683714,2025-10-22T15:16:50Z
18.7,2025-10-22T15:21:54Z,36.1389473,2025-10-22T15:21:54Z,-120.3683690,2025-10-22T15:21:54Z
17.1,2025-10-22T15:26:56Z,36.1389187,2025-10-22T15:26:56Z,-120.3683579,2025-10-22T15:26:56Z
17.8,2025-10-22T15:32:03Z,36.1390074,2025-10-22T15:32:03Z,-120.3683071,2025-10-22T15:32:03Z
21.0,2025-10-22T15:37:05Z,36.1389211,2025-10-22T15:37:05Z,-120.3682945,2025-10-22T15:37:05Z
24.7,2025-10-22T15:42:07Z,36.1388970,2025-10-22T15:42:07Z,-120.3683481,2025-10-22T15:42:07Z
23.0,2025-10-22T15:47:11Z,36.1388556,2025-10-22T15:47:11Z,-120.3683604,2025-10-22T15:47:11Z
23.5,2025-10-22T15:52:18Z,36.1389010,2025-10-22T15:52:18Z,-120.3683486,2025-10-22T15:52:18Z
25.8,2025-10-22T15:57:22Z,36.1389303,2025-10-22T15:57:22Z,-120.3683537,2025-10-22T15:57:22Z
26.9,2025-10-22T16:02:29Z,36.1388871,2025-10-22T16:02:29Z,-120.3683528,2025-10-22T16:02:29Z
28.5,2025-10-22T16:07:33Z,36.1389109,2025-10-22T16:07:33Z,-120.3683212,2025-10-22T16:07:33Z
